url,domain,resource_name,url_source
http://biochimica3.bio.uniroma3.it/fragments-web/,biochimica3.bio.uniroma3.it,PDB,original
http://bliulab.net/PDB-BRE,bliulab.net,PDB,original
http://caps.ncbs.res.in/dsdbase2,caps.ncbs.res.in,PDB,original
http://coiledcoils.chm.bris.ac.uk/CCPlus/Home.html,coiledcoils.chm.bris.ac.uk,PDB,original
http://dunbrack.fccc.edu/kincore,dunbrack.fccc.edu,PDB,original
http://dunbrack2.fccc.edu/protcad,dunbrack2.fccc.edu,PDB,original
http://dyn.life.nthu.edu.tw/design/,dyn.life.nthu.edu.tw,PDB,original
http://ekhidna2.biocenter.helsinki.fi/ISS_ProtSci/,ekhidna2.biocenter.helsinki.fi,PDB,original
http://eyeprodb.jsiec.org,eyeprodb.jsiec.org,PDB,original
http://github.com/ELELAB/PDBminer,github.com,PDB,original
http://hit2.badd-cao.net,hit2.badd-cao.net,PDB,original
http://i.uestc.edu.cn/AACDB,i.uestc.edu.cn,PDB,original
http://insilab.org,insilab.org,PDB,original
http://insilab.org/probisdock,insilab.org,PDB,original
http://mespeus.nchu.edu.tw/,mespeus.nchu.edu.tw,PDB,original
http://molhyb.xundrug.cn/,molhyb.xundrug.cn,PDB,original
http://probis-fold.insilab.org,probis-fold.insilab.org,PDB,original
http://prodata.swmed.edu/ecod,prodata.swmed.edu,PDB,original
http://sh2db.ttk.hu,sh2db.ttk.hu,PDB,original
http://webs.iiitd.edu.in/raghava/cancerppd2/,webs.iiitd.edu.in,PDB,original
http://www.aifordrugs.cn/index/,www.aifordrugs.cn,PDB,original
http://www.rscb.org/pdb,www.rscb.org,PDB,original
http://www.s-bioinformatics.cn/epdrna,www.s-bioinformatics.cn,PDB,original
http://www.s-bioinformatics.cn/idpsbind/home/,www.s-bioinformatics.cn,PDB,original
http://www.sdab-db.ca/,www.sdab-db.ca,PDB,original
http://www.structbioinfo.cn/,www.structbioinfo.cn,PDB,original
http://www.wwpdb.org/ftp/pdb-nextgen-archive-site,www.wwpdb.org,PDB,original
https://3dpath.ku.edu.tr/PPInt/,3dpath.ku.edu.tr,PDB,original
https://alpha-esmhfolds.biocomp.unibo.it/,alpha-esmhfolds.biocomp.unibo.it,PDB,original
https://alphafold.ebi.ac.uk,alphafold.ebi.ac.uk,PDB,original
https://alphafold.ebi.ac.uk/,alphafold.ebi.ac.uk,PDB,original
https://b-amp.karishmakaushiklab.com,b-amp.karishmakaushiklab.com,PDB,original
https://bblserver.org.in/avrissa/,bblserver.org.in,PDB,original
https://bcb.unl.edu/dbAPIS,bcb.unl.edu,PDB,original
https://biocomputingup.it/shared/caid-predictors/,biocomputingup.it,PDB,original
https://bioinformatics.lt/ppi3d,bioinformatics.lt,PDB,original
https://bioserver3.physics.iisc.ac.in/cgi-bin/cssp-2/,bioserver3.physics.iisc.ac.in,PDB,original
https://caid.idpcentral.org/portal,caid.idpcentral.org,PDB,original
https://cfold.bme.uic.edu/castpfold/,cfold.bme.uic.edu,PDB,original
https://channelsdb2.biodata.ceitec.cz,channelsdb2.biodata.ceitec.cz,PDB,original
https://cmm.minorlab.org,cmm.minorlab.org,PDB,original
https://covidbase-v3.vercel.app/,covidbase-v3.vercel.app,PDB,original
https://deepcys.computchem.org/,deepcys.computchem.org,PDB,original
https://folding.biofold.org/k-pro,folding.biofold.org,PDB,original
https://fuzdb.org,fuzdb.org,PDB,original
https://github.com/91Abdullah/covidbasev3.0,github.com,PDB,original
https://github.com/GGchen1997/STEPS_Bioinformatics,github.com,PDB,original
https://github.com/JhaKanchan15/PPI_GNN.git,github.com,PDB,original
https://github.com/JueWangTHU/CLAPE-SMB,github.com,PDB,original
https://github.com/PDBeurope/arpeggio,github.com,PDB,original
https://github.com/PDBeurope/ccdutils,github.com,PDB,original
https://github.com/PDBeurope/rellig,github.com,PDB,original
https://github.com/Prasanth-Kumar87/PharmRF,github.com,PDB,original
https://github.com/SFBBGroup/AbSet.git,github.com,PDB,original
https://github.com/THGLab/ptm_sc.git,github.com,PDB,original
https://github.com/bashton-lab/ProCogGraph,github.com,PDB,original
https://github.com/comp-medchem/LigExtract,github.com,PDB,original
https://github.com/freeenergylab/FEP-SPell-ABFE,github.com,PDB,original
https://github.com/fuyw-aisw/GALA,github.com,PDB,original
https://github.com/ibivu/pipenn/,github.com,PDB,original
https://github.com/kad-ecoli/BeEM/,github.com,PDB,original
https://github.com/kad-ecoli/pdc,github.com,PDB,original
https://github.com/phermosilla/IEConv\_proteins/tree/master/Datasets,github.com,PDB,original
https://github.com/protdb/ABBNet,github.com,PDB,original
https://github.com/protdb/SCPacker,github.com,PDB,original
https://github.com/rareylab/LOBSTER,github.com,PDB,original
https://github.com/refresh-bio/protestar,github.com,PDB,original
https://github.com/samrat-lab/k2p_bioinfo-2022,github.com,PDB,original
https://github.com/tommyhuangthu/SAAINT,github.com,PDB,original
https://glycoshape.org,glycoshape.org,PDB,original
https://gpcrbs.bigdata.jcmsc.cn,gpcrbs.bigdata.jcmsc.cn,PDB,original
https://heligeom.galaxy.ibpc.fr,heligeom.galaxy.ibpc.fr,PDB,original
https://idrblab.org/ttd/,idrblab.org,PDB,original
https://iimcb.genesilico.pl/modomics/,iimcb.genesilico.pl,PDB,original
https://konnect2prot.thsti.in,konnect2prot.thsti.in,PDB,original
https://ligcys.computchem.org/,ligcys.computchem.org,PDB,original
https://mirna.in/miRVim,mirna.in,PDB,original
https://mobidb.org/,mobidb.org,PDB,original
https://modelarchive.org/,modelarchive.org,PDB,original
https://multifacetedprotdb.biocomp.unibo.it/,multifacetedprotdb.biocomp.unibo.it,PDB,original
https://nanobase.org/,nanobase.org,PDB,original
https://ngdc.cncb.ac.cn/biocode/tools/BT007365/releases/0.1,ngdc.cncb.ac.cn,PDB,original
https://pcddb.cryst.bbk.ac.uk,pcddb.cryst.bbk.ac.uk,PDB,original
https://pcddb.cryst.bbk.ac.uk/,pcddb.cryst.bbk.ac.uk,PDB,original
https://pdbe-kb.org,pdbe-kb.org,PDB,original
https://pdbe.org/chem/sti,pdbe.org,PDB,original
https://pdbj.org,pdbj.org,PDB,original
https://pdbj.org/,pdbj.org,PDB,original
https://prankweb.cz/,prankweb.cz,PDB,original
https://pro.unl.edu/CAZyme3D/,pro.unl.edu,PDB,original
https://probis.nih.gov,probis.nih.gov,PDB,original
https://proteins.plus/,proteins.plus,PDB,original
https://psskb.org/,psskb.org,PDB,original
https://psskb.org/page/about,psskb.org,PDB,original
https://pubchem.ncbi.nlm.nih.gov/,pubchem.ncbi.nlm.nih.gov,PDB,original
https://repeatsdb.org,repeatsdb.org,PDB,original
https://ribosome.xyz,ribosome.xyz,PDB,original
https://rnahugs.cs.put.poznan.pl/,rnahugs.cs.put.poznan.pl,PDB,original
https://rnaloops.cs.put.poznan.pl,rnaloops.cs.put.poznan.pl,PDB,original
https://rnascape.usc.edu/,rnascape.usc.edu,PDB,original
https://rnasolo.cs.put.poznan.pl,rnasolo.cs.put.poznan.pl,PDB,original
https://rosbase.bits-hyderabad.ac.in/,rosbase.bits-hyderabad.ac.in,PDB,original
https://scop.berkeley.edu,scop.berkeley.edu,PDB,original
https://topcysteinedb.hhu.de/,topcysteinedb.hhu.de,PDB,original
https://torsions.zbh.uni-hamburg.de,torsions.zbh.uni-hamburg.de,PDB,original
https://web.iitm.ac.in/bioinfo2/pronab/,web.iitm.ac.in,PDB,original
https://webs.iiitd.edu.in/raghava/cancerppd2/api/rest.html,webs.iiitd.edu.in,PDB,original
https://www.cathdb.info,www.cathdb.info,PDB,original
https://www.chanfad.org/,www.chanfad.org,PDB,original
https://www.co-19pdb.habdsk.org/,www.co-19pdb.habdsk.org,PDB,original
https://www.ema.europa.eu/,www.ema.europa.eu,PDB,original
https://www.github.com/Hoecker-Lab/atligator,www.github.com,PDB,original
https://www.rcsb.org/,www.rcsb.org,PDB,original
https://www.sbg.bio.ic.ac.uk/phyre2/,www.sbg.bio.ic.ac.uk,PDB,original
https://www.swissdock.ch/,www.swissdock.ch,PDB,original
https://yzhang.hpc.nyu.edu/CovBinderInPDB,yzhang.hpc.nyu.edu,PDB,original
https://zhanggroup.org/BioLiP,zhanggroup.org,PDB,original
https://zhanglab.ccmb.med.umich.edu/LOMETS/,zhanglab.ccmb.med.umich.edu,PDB,original
http://210.22.121.250:41352/,210.22.121.250:41352,KEGG,original
http://annoview.uwaterloo.ca,annoview.uwaterloo.ca,KEGG,original
http://bioinfo.qd.sdu.edu.cn/GDPF/,bioinfo.qd.sdu.edu.cn,KEGG,original
http://bioinfo.usu.edu/tritikbdb/,bioinfo.usu.edu,KEGG,original
http://bioinfo.usu.edu/trustdb/,bioinfo.usu.edu,KEGG,original
http://bioinfo.usu.edu/weconet/,bioinfo.usu.edu,KEGG,original
http://castaneadb.net,castaneadb.net,KEGG,original
http://cbcb.cdutcm.edu.cn/INPUT/,cbcb.cdutcm.edu.cn,KEGG,original
http://chm-fiefp.net/,chm-fiefp.net,KEGG,original
http://ciec.gene.ac/,ciec.gene.ac,KEGG,original
http://dbCRAF.xialab.info/,dbCRAF.xialab.info,KEGG,original
http://diseasemeth.edbc.org/,diseasemeth.edbc.org,KEGG,original
http://eggnog6.embl.de,eggnog6.embl.de,KEGG,original
http://funagepro.molgenrug.nl,funagepro.molgenrug.nl,KEGG,original
http://hgtree2.snu.ac.kr,hgtree2.snu.ac.kr,KEGG,original
http://hit2.badd-cao.net,hit2.badd-cao.net,KEGG,original
http://lcbd.biomarkerdb.com,lcbd.biomarkerdb.com,KEGG,original
http://lipid.cloudna.cn/home,lipid.cloudna.cn,KEGG,original
http://micromix.systems,micromix.systems,KEGG,original
http://milletdb.novogene.com,milletdb.novogene.com,KEGG,original
http://ncpath.pianlab.cn/,ncpath.pianlab.cn,KEGG,original
http://peachtree.work/home,peachtree.work,KEGG,original
http://v2.insect-genome.com/,v2.insect-genome.com,KEGG,original
http://www,www,KEGG,original
http://www.altitudeomicsdb.in,www.altitudeomicsdb.in,KEGG,original
http://www.fynn-guo.cn/,www.fynn-guo.cn,KEGG,original
http://www.gzybioinformatics.cn/ASAP,www.gzybioinformatics.cn,KEGG,original
http://www.gzybioinformatics.cn/Gelv2,www.gzybioinformatics.cn,KEGG,original
http://www.gzybioinformatics.cn/LoniComp,www.gzybioinformatics.cn,KEGG,original
http://www.icazygfadb.org.cn/,www.icazygfadb.org.cn,KEGG,original
http://www.metaboex.cn/MetEx,www.metaboex.cn,KEGG,original
http://www.microrna.gr/miRPathv4,www.microrna.gr,KEGG,original
http://www.onethird-lab.com/RABC/,www.onethird-lab.com,KEGG,original
http://www.oxfordjournals.org/nar/database/c/,www.oxfordjournals.org,KEGG,original
http://www.theplantlist.org,www.theplantlist.org,KEGG,original
http://www.zhounan.org/ferrdb/index.html,www.zhounan.org,KEGG,original
https://TEDD.obg.cuhk.edu.hk/,TEDD.obg.cuhk.edu.hk,KEGG,original
https://academic.oup.com/nar,academic.oup.com,KEGG,original
https://allium.qau.edu.cn,allium.qau.edu.cn,KEGG,original
https://artyomovlab.wustl.edu/shiny/gatom,artyomovlab.wustl.edu,KEGG,original
https://as-fmmdb.shinyapps.io/asssrdb/,as-fmmdb.shinyapps.io,KEGG,original
https://bidd.group/CMAUP/index.html,bidd.group,KEGG,original
https://biit.cs.ut.ee/gprofiler,biit.cs.ut.ee,KEGG,original
https://biocom-uib.github.io/MetaDag/,biocom-uib.github.io,KEGG,original
https://bioconductor.org/packages/SBGNview,bioconductor.org,KEGG,original
https://bioinfo.uib.es/metadag/,bioinfo.uib.es,KEGG,original
https://bitbucket.org/mosys-univie/covrecon,bitbucket.org,KEGG,original
https://blogs.upm.es/gymnotoa-db/2024/09/19/gymnotoa-app/,blogs.upm.es,KEGG,original
https://cat-e.bioinfo-wuerz.eu/,cat-e.bioinfo-wuerz.eu,KEGG,original
https://ccsm.uth.edu/DRMref/,ccsm.uth.edu,KEGG,original
https://ctlab.itmo.ru/shiny/gatom,ctlab.itmo.ru,KEGG,original
https://esbl.nhlbi.nih.gov/Databases/EGF-network/,esbl.nhlbi.nih.gov,KEGG,original
https://esbl.nhlbi.nih.gov/Databases/EGF-phospho/,esbl.nhlbi.nih.gov,KEGG,original
https://github.com/BIGchix/GINv2.0,github.com,KEGG,original
https://github.com/CMATERJU-BIOINFO/RUBic,github.com,KEGG,original
https://github.com/HangZhouSheep/oppOntology,github.com,KEGG,original
https://github.com/Irena-Zhang/MotifMol3D.git,github.com,KEGG,original
https://github.com/Jasonxu0109/MangroveDB,github.com,KEGG,original
https://github.com/Jin93/T2DAG,github.com,KEGG,original
https://github.com/KoslickiLab/fmh-funprofiler,github.com,KEGG,original
https://github.com/Marscolono/NcPath/,github.com,KEGG,original
https://github.com/MicrobiologyETHZ/mbarq,github.com,KEGG,original
https://github.com/NIGMS/Consensus-Pathway-Analysis-in-the-Cloud,github.com,KEGG,original
